"","mes_ano","pais","valor"
"2182",2014-04-01,"Hong Kong SAR",3568064
"2183",2014-05-01,"Hong Kong SAR",3452734
"2184",2014-06-01,"Hong Kong SAR",3395330
"2185",2014-07-01,"Hong Kong SAR",4261796
"2186",2014-08-01,"Hong Kong SAR",4896001
"2187",2014-09-01,"Hong Kong SAR",3681736
"2188",2014-10-01,"Hong Kong SAR",4027944
"2189",2014-11-01,"Hong Kong SAR",4155524
"2190",2014-12-01,"Hong Kong SAR",4401845
"2191",2015-01-01,"Hong Kong SAR",4490420
"2192",2015-02-01,"Hong Kong SAR",4551825
"2193",2015-03-01,"Hong Kong SAR",3240825
"2194",2015-04-01,"Hong Kong SAR",3604713
"2195",2015-05-01,"Hong Kong SAR",3625308
"2196",2015-06-01,"Hong Kong SAR",3333433
"2197",2015-07-01,"Hong Kong SAR",3845273
"2198",2015-08-01,"Hong Kong SAR",4550148
"2199",2015-09-01,"Hong Kong SAR",3509432
"2200",2015-10-01,"Hong Kong SAR",3857524
"2201",2015-11-01,"Hong Kong SAR",3512410
"2202",2015-12-01,"Hong Kong SAR",3721049
"2203",2016-01-01,"Hong Kong SAR",4043000
"2204",2016-02-01,"Hong Kong SAR",3367736
"2205",2016-03-01,"Hong Kong SAR",3017173
"2206",2016-04-01,"Hong Kong SAR",3459000
"2207",2016-05-01,"Hong Kong SAR",3322758
"2208",2016-06-01,"Hong Kong SAR",3206043
"2209",2016-07-01,"Hong Kong SAR",3930526
"2210",2016-08-01,"Hong Kong SAR",4037005
"2211",2016-09-01,"Hong Kong SAR",3333627
"2212",2016-10-01,"Hong Kong SAR",3723837
"2213",2016-11-01,"Hong Kong SAR",3388958
"2214",2016-12-01,"Hong Kong SAR",3948482
"2215",2017-01-01,"Hong Kong SAR",4353505
"2216",2017-02-01,"Hong Kong SAR",3138728
"2217",2017-03-01,"Hong Kong SAR",3330769
"2218",2017-04-01,"Hong Kong SAR",3521932
"2219",2017-05-01,"Hong Kong SAR",3450028
"2220",2017-06-01,"Hong Kong SAR",3097716
"2221",2017-07-01,"Hong Kong SAR",4077183
"2222",2017-08-01,"Hong Kong SAR",3955989
"2223",2017-09-01,"Hong Kong SAR",3572769
"2224",2017-10-01,"Hong Kong SAR",4033473
"2225",2017-11-01,"Hong Kong SAR",3680755
"2226",2017-12-01,"Hong Kong SAR",4232412
"2227",2018-01-01,"Hong Kong SAR",4113241
"2228",2018-02-01,"Hong Kong SAR",4399696
"2229",2018-03-01,"Hong Kong SAR",3668375
"2230",2018-04-01,"Hong Kong SAR",4056097
"2231",2018-05-01,"Hong Kong SAR",3817370
"2232",2018-06-01,"Hong Kong SAR",3634089
"2233",2018-07-01,"Hong Kong SAR",4402955
"2234",2018-08-01,"Hong Kong SAR",4825547
"2235",2018-09-01,"Hong Kong SAR",3713464
"2236",2018-10-01,"Hong Kong SAR",4654391
"2237",2018-11-01,"Hong Kong SAR",4631378
"2238",2018-12-01,"Hong Kong SAR",5121627
"2239",2019-01-01,"Hong Kong SAR",5542896
"2240",2019-02-01,"Hong Kong SAR",4560963
"2241",2019-03-01,"Hong Kong SAR",4478389
"2242",2019-04-01,"Hong Kong SAR",4272755
"2243",2019-05-01,"Hong Kong SAR",4717520
"2244",2019-06-01,"Hong Kong SAR",4000994
"2245",2019-07-01,"Hong Kong SAR",4160688
"2246",2019-08-01,"Hong Kong SAR",2782897
"2247",2019-09-01,"Hong Kong SAR",2412459
"2248",2019-10-01,"Hong Kong SAR",2519243
"2249",2019-11-01,"Hong Kong SAR",1927649
"2250",2019-12-01,"Hong Kong SAR",2398232
